model,accuracy,precision,recall,f1,roc_auc,dataset
xgboost,0.5178571428571429,0.5307039440838742,0.7216564833672776,0.6116225546605294,0.5106480834882188,with_owner
logistic_regression,0.49892857142857144,0.525811209439528,0.48404616429056346,0.5040650406504065,0.5016603817215275,with_owner
random_forest,0.5032142857142857,0.5264516129032258,0.5539714867617108,0.5398610651670526,0.4956424891963916,with_owner
catboost,0.5078571428571429,0.5231820400195217,0.7277664630006789,0.6087450312322544,0.4939204602718309,with_owner
xgboost,0.5085714285714286,0.5257567711099309,0.6720977596741344,0.5899880810488677,0.49549642881078193,no_owner
random_forest,0.49892857142857144,0.523117569352708,0.5376782077393075,0.5302979578172079,0.491017669981291,no_owner
catboost,0.5046428571428572,0.5212031558185405,0.7175831636116768,0.6038274778634676,0.48950590662060267,no_owner
logistic_regression,0.49607142857142855,0.5216178521617852,0.5078071961982349,0.5146198830409356,0.4881419942281847,no_owner
