iter	Logloss
0	0.692743519
1	0.6924040277
2	0.6921234473
3	0.6917430624
4	0.6912790865
5	0.6909185862
6	0.6905502939
7	0.6902997313
8	0.6901002104
9	0.6897809788
10	0.6894787567
11	0.689303283
12	0.6890850887
13	0.6887675853
14	0.6884579755
15	0.6881324595
16	0.6879168953
17	0.6877487742
18	0.687529768
19	0.6872033117
20	0.6870094691
21	0.686811876
22	0.6865172286
23	0.6863201307
24	0.6859912697
25	0.6857770778
26	0.6855644352
27	0.6852505228
28	0.6850960281
29	0.6848466539
30	0.6846169424
31	0.6844517396
32	0.6842890604
33	0.6841121975
34	0.6839407062
35	0.6838444411
36	0.6836776372
37	0.683433477
38	0.6832152399
39	0.683066362
40	0.6829244956
41	0.6827673456
42	0.6825835872
43	0.6824751562
44	0.682296174
45	0.6819965946
46	0.6817465198
47	0.6815808979
48	0.6813889153
49	0.6810285246
50	0.6807152942
51	0.680470879
52	0.6802913296
53	0.6801344213
54	0.6799360522
55	0.67975481
56	0.6796834099
57	0.6793492523
58	0.6792101395
59	0.6789634536
60	0.6788515736
61	0.6786343641
62	0.6784233921
63	0.6783468111
64	0.6780869188
65	0.677854655
66	0.677539809
67	0.6773871137
68	0.6771953647
69	0.6769237224
70	0.6768073865
71	0.6765573816
72	0.6763594419
73	0.6761770235
74	0.6758829407
75	0.6756381727
76	0.6754401797
77	0.6752751447
78	0.6751445891
79	0.6749889678
80	0.6748896401
81	0.6746979593
82	0.6744979914
83	0.6742741081
84	0.6741512272
85	0.6740457901
86	0.6738820461
87	0.6737159279
88	0.6734687855
89	0.6732545291
90	0.6730380781
91	0.6728683372
92	0.6727382596
93	0.6725987354
94	0.6724189387
95	0.67231585
96	0.6721532236
97	0.672047059
98	0.671748834
99	0.6716908954
100	0.6714682608
101	0.671280631
102	0.6711093351
103	0.6708676869
104	0.6707119061
105	0.6705039593
106	0.670357048
107	0.6702386564
108	0.6701246902
109	0.6698754161
110	0.6697465725
111	0.6696245836
112	0.6694307804
113	0.6692719079
114	0.6691319702
115	0.6689685994
116	0.6687392101
117	0.6684574993
118	0.6683307497
119	0.6681681932
120	0.6680362664
121	0.6679132114
122	0.6677284684
123	0.6676738495
124	0.6675175509
125	0.6673386227
126	0.6671935258
127	0.667079745
128	0.6669180975
129	0.6666356251
130	0.6664692579
131	0.666292725
132	0.6662498086
133	0.6661267465
134	0.6659958604
135	0.665872401
136	0.6657260063
137	0.6654770813
138	0.6653227103
139	0.6650940783
140	0.6649796689
141	0.6648208199
142	0.6646561099
143	0.6644975995
144	0.6643865344
145	0.6641568528
146	0.6639401541
147	0.6638186069
148	0.6636873575
149	0.6634305332
150	0.6632505082
151	0.6631566889
152	0.6630206249
153	0.6628486765
154	0.6626777108
155	0.6625844088
156	0.6623926681
157	0.6622102424
158	0.6620179734
159	0.6618426161
160	0.6616955088
161	0.6615673438
162	0.6614278448
163	0.6612901207
164	0.6611913469
165	0.6611100597
166	0.6608893563
167	0.6607227231
168	0.6605147156
169	0.6602895775
170	0.6601308415
171	0.6599219055
172	0.659745739
173	0.6596080413
174	0.6595153894
175	0.6593425271
176	0.6591867893
177	0.6590755634
178	0.6589951764
179	0.658881661
180	0.6586552058
181	0.6585428344
182	0.6583916597
183	0.6582483053
184	0.6581462721
185	0.657948248
186	0.657840052
187	0.6576532413
188	0.6574731902
189	0.6573632328
190	0.6572201813
191	0.6570774084
192	0.6569143891
193	0.6568095119
194	0.6566234406
195	0.6564789634
196	0.6563290418
197	0.6560944035
198	0.6559406396
199	0.6557686733
200	0.6556711237
201	0.6555112225
202	0.6553705993
203	0.6551148599
204	0.6550547025
205	0.6549235626
206	0.6547003931
207	0.6544931429
208	0.6542586524
209	0.6541696903
210	0.6539868331
211	0.6538017212
212	0.6535589694
213	0.6534228908
214	0.6532010484
215	0.6529909414
216	0.6528812338
217	0.6526267356
218	0.6524122919
219	0.6522572354
220	0.652038712
221	0.6518139017
222	0.6516459007
223	0.6513909963
224	0.6512350697
225	0.6510708356
226	0.6509093077
227	0.6506761741
228	0.6504479511
229	0.6502661132
230	0.6501501949
231	0.6500112897
232	0.6498111626
233	0.6496138615
234	0.649434576
235	0.649238068
236	0.649120864
237	0.6488861589
238	0.6486748327
239	0.6484330026
240	0.64821829
241	0.6480622626
242	0.6479303665
243	0.6478135785
244	0.6475727542
245	0.6473596556
246	0.647198725
247	0.6469364171
248	0.6468268878
249	0.6465982692
250	0.6464369172
251	0.6462323337
252	0.6460161949
253	0.6458353039
254	0.6456003788
255	0.6454795727
256	0.6452961257
257	0.6451056107
258	0.6448317362
259	0.6445849397
260	0.6444160447
261	0.6442897092
262	0.6441308869
263	0.6438669676
264	0.6437395867
265	0.6434398585
266	0.6431322155
267	0.6428663329
268	0.6426476273
269	0.6425269038
270	0.6423205547
271	0.642136117
272	0.6420716285
273	0.6419142959
274	0.6417418857
275	0.6414860569
276	0.6413278709
277	0.6411670309
278	0.6410203655
279	0.6408192921
280	0.6406688783
281	0.6405380324
282	0.6404180496
283	0.640317413
284	0.6401590469
285	0.6398615202
286	0.6397313875
287	0.6395843137
288	0.6394673428
289	0.6392522107
290	0.639140668
291	0.6390475992
292	0.6388951656
293	0.6387582115
294	0.6386003802
295	0.6384121294
296	0.6382356179
297	0.638044205
298	0.63784048
299	0.6376626592
