model,accuracy,precision,recall,f1,roc_auc,top_10_rate,top_10_lift,top_10_capture,top_20_rate,top_20_lift,top_20_capture
logistic_regression,0.49607142857142855,0.5226277372262774,0.4860828241683639,0.5036932817446359,0.500206428601028,0.5678571428571428,1.079429735234216,0.1079429735234216,0.5375,1.021724372029871,0.2043448744059742
xgboost,0.515,0.5289089994972348,0.7141887304820095,0.6077411900635471,0.5153230390178194,0.5285714285714286,1.0047522063815344,0.10047522063815342,0.5410714285714285,1.0285132382892057,0.20570264765784113
random_forest,0.49964285714285717,0.5229299363057325,0.5573659198913782,0.5395990798554059,0.5056129650462916,0.525,0.9979633401221997,0.09979633401221996,0.5589285714285714,1.0624575695858793,0.21249151391717583
catboost,0.5185714285714286,0.5294117647058824,0.7637474541751528,0.6253474152306837,0.5065844840384904,0.5142857142857142,0.9775967413441955,0.09775967413441955,0.5321428571428571,1.0115410726408691,0.2023082145281738
